,duty,op_days,rept,pull,start_pl,full_pay,plat_pay,rev_pay,orig_pay,relief_duty,dtype,orig_relief_duty,st_plB,reptB,pullB,route,pay_diff,asterisk,bulletin_no,ex_duty
0,F147,Weekday,1048,1103,#81 @ JpkBlu,9h30,9h30,,,,extra,,,,,81,570,,SB21-0001,F147
1,F148,Weekday,1118,1133,#81 @ JpkBlu,7h54,7h54,,,,extra,,,,,81,474,,SB21-0001,F148
2,F149,Weekday,1148,1203,#81 @ JpkBlu,7h54,7h54,,,,extra,,,,,81,474,,SB21-0001,F149
3,F150,Weekday,1354,1409+,#81 @ JpkBlu,6h07,6h07,,,,extra,,,,,81,367,,SB21-0001,F150
4,P371,Sunday,0722,0737,#36 @ DevClk,8h56,8h56,,,,extra,,,,,36,536,,SB21-0002,P371
5,P372,Sunday,0756,0811,#36 @ DevClk,8h53,8h53,,,,extra,,,,,36,533,,SB21-0002,P372
6,P373,Sunday,0827,0842,#36 @ DevClk,9h03,9h03,,,,extra,,,,,36,543,,SB21-0002,P373
7,P374,Sunday,0859,0914+,#36 @ DevClk,9h02,9h02,,,,extra,,,,,36,542,,SB21-0002,P374
8,P291,Weekday,0908,0923,#22 @ FosClk,8h26,8h26,,,,extra,,,,,22,506,,SB21-0003,P291
9,P292,Weekday,0932,0947,#22 @ FosClk,8h31,8h31,,,,extra,,,,,22,511,,SB21-0003,P292
10,P293,Weekday,1008,1023,#22 @ FosClk,8h34,8h34,,,,extra,,,,,22,514,,SB21-0003,P293
11,P294,Weekday,1042,1057+,#22 @ FosClk,8h31,8h31,,,,extra,,,,,22,511,,SB21-0003,P294
12,P295,Weekday,1115,1130,#22 @ FosClk,5h54,5h54,,,,extra,,,,,22,354,,SB21-0003,P295
13,P291,Saturday,0938,0953+,#22 @ FosClk,8h28,8h28,,,,extra,,,,,22,508,,SB21-0004,P291
14,P292,Saturday,1008,1023+,#22 @ FosClk,8h33,8h33,,,,extra,,,,,22,513,,SB21-0004,P292
15,P293,Saturday,1039,1054+,#22 @ FosClk,8h38,8h38,,,,extra,,,,,22,518,,SB21-0004,P293
16,P294,Saturday,1108,1123,#22 @ FosClk,5h33,5h33,,,,extra,,,,,22,333,,SB21-0004,P294
17,P295,Saturday,1146,1201,#22 @ FosClk,5h34,5h34,,,,extra,,,,,22,334,,SB21-0004,P295
18,P771,Weekday,0649,0704,#147 @ DevBwy,8h13,8h13,,,,extra,,,,,147,493,,SB21-0005,P771
19,P772,Weekday,0723,0738,#147 @ DevBwy,8h05,8h05,,,,extra,,,,,147,485,,SB21-0005,P772
20,P773,Weekday,0749,0804,#147 @ DevBwy,8h24,8h24,,,,extra,,,,,147,504,,SB21-0005,P773
21,P774,Weekday,0830,0845,#147 @ DevBwy,8h12,8h12,,,,extra,,,,,147,492,,SB21-0005,P774
22,P775,Weekday,0904,0919+,#147 @ DevBwy,8h22,8h22,,,,extra,,,,,147,502,,SB21-0005,P775
23,P776,Weekday,0944,0959,#147 @ DevBwy,8h33,8h33,,,,extra,,,,,147,513,,SB21-0005,P776
24,P777,Weekday,1014,1029,#147 @ DevBwy,8h17,8h17,,,,extra,,,,,147,497,,SB21-0005,P777
25,P778,Weekday,1104,1119,#147 @ DevBwy,6h44,6h44,,,,extra,,,,,147,404,,SB21-0005,P778
26,5081,Sunday,0823,0838+,#20 @ MadPul,9h30,9h30,,,,extra,,,,,20,570,,SB21-0006,5081
27,5082,Sunday,0843,0858+,#20 @ MadPul,9h35,9h35,,,,extra,,,,,20,575,,SB21-0006,5082
28,5083,Sunday,0912,0927,#20 @ MadPul,9h31,9h31,,,,extra,,,,,20,571,,SB21-0006,5083
29,5084,Sunday,1225,1240+,#20 @ MadPul,5h15,5h15,,,,extra,,,,,20,315,,SB21-0006,5084
30,5081,Weekday,0805,0820+,#20 @ MadPul,8h30,8h30,,,,extra,,,,,20,510,,SB21-0007,5081
31,5082,Weekday,0824,0839+,#20 @ MadPul,8h31,8h31,,,,extra,,,,,20,511,,SB21-0007,5082
32,5083,Weekday,0853,0908,#20 @ MadPul,8h33,8h33,,,,extra,,,,,20,513,,SB21-0007,5083
33,5084,Weekday,1151,1206+,#20 @ MadPul,5h19,5h19,,,,extra,,,,,20,319,,SB21-0007,5084
34,5085,Weekday,1216,1231,#20 @ MadPul,5h27,5h27,,,,extra,,,,,20,327,,SB21-0007,5085
35,5086,Weekday,1232,1247,#20 @ MadPul,5h24,5h24,,,,extra,,,,,20,324,,SB21-0007,5086
