Garage,Duty,Op Day,Sequence,Start Time,Start,End,Route,Pce has pullout,First Start,From,Next DtyRunNumber,Paid,Work Time,Platform,Type,Direction,Duty1,EvtSta,Note
6,094,a,1,19:27,19:42,28:31,9,TRUE,74 Ash,G--74,,9h04,9h04,8h49,OWL,,,,
6,095,a,1,19:56,20:11+,28:58,9,TRUE,74 Ash,G--74,,9h02,9h02,8h47,OWL,,,,
6,096,a,1,20:29,20:44+,29:30,9,TRUE,74 Ash,G--74,,9h01,9h01,8h46,OWL,,,,
6,097,a,1,21:07,21:22+,29:57+,9,TRUE,74 Ash,G--74,6006,8h58,8h58,8h36,OWL,,,,
6,098,a,1,21:48,22:03,30:24+,9,TRUE,74 Ash,G--74,6773,8h44,8h44,8h22,OWL,,,,
6,099,a,1,22:28,22:43+,27:30,9,TRUE,74 Ash,G--74,,5h02,5h02,4h47,OWL,,,,
6,100,a,1,23:09,23:24,28:00,9,TRUE,74 Ash,G--74,,4h51,4h51,4h36,OWL,,,,
6,247,a,1,21:53,22:08,32:13+,62,TRUE,ArcHar,G--74,6209,11h21,11h04,10h06,OWL,,,,
6,248,a,1,22:30,22:45,29:39,62,TRUE,ArcHar,G--74,,7h09,7h09,6h54,OWL,,,,
6,249,a,1,23:45,24:00,31:34+,62,TRUE,ArcHar,G--74,6208,8h33,8h33,7h35,OWL,,,,
6,250,a,1,24:15,24:30,30:31+,62,TRUE,ArcHar,G--74,,6h17,6h17,6h02,OWL,,,,
6,347,a,1,21:25,21:40,30:46,63,TRUE,63 Ash,G--74,6311,9h42,9h42,9h06,OWL,,,,
6,348,a,1,22:31,22:46+,30:38+,63,TRUE,63 Ash,G--74,6307,8h29,8h29,7h53,OWL,,,,
6,349,a,1,21:56,22:11,30:19+,63,TRUE,63 Ash,G--74,6304,8h45,8h45,8h09,OWL,,,,
6,350,a,1,23:10,23:25+,30:26,63,TRUE,63 Ash,G--74,6308,7h37,7h37,7h01,OWL,,,,
6,372,a,1,15:50,16:26+,19:33,63,FALSE,63 Ash,MdwOrg,6318,11h50,11h50,11h14,PTO2,East,317,,
6,372,a,2,15:50,20:13,28:20,63,FALSE,63 Ash,63 Sto,,11h50,11h50,11h14,PTO2,West,317,,EARLY
6,455,a,1,20:24,20:39,31:02,49,TRUE,79 Wes,G--74,6013,11h00,10h50,10h23,OWL,,,,
6,456,a,1,21:00,21:15,31:20+,49,TRUE,79 Wes,G--74,6016,10h35,10h33,10h06,OWL,,,,
6,457,a,1,21:51,22:06,32:00,49,TRUE,79 Wes,G--74,6023,10h21,10h21,9h54,OWL,,,,
6,458,a,1,22:06,22:21,29:42,49,TRUE,79 Wes,G--74,,7h36,7h36,7h21,OWL,,,,
6,459,a,1,22:55,23:10+,30:00+,49,TRUE,79 Wes,G--74,,7h06,7h06,6h51,OWL,,,,
6,460,a,1,23:14,23:29,30:37+,49,TRUE,79 Wes,G--74,,7h24,7h24,7h09,OWL,,,,
6,529,a,1,18:21,18:36+,27:57+,55,TRUE,GrfAsh,G--74,,9h37,9h37,9h22,OWL,,,,
6,530,a,1,19:06,19:21+,28:28,55,TRUE,GrfAsh,G--74,,9h22,9h22,9h07,OWL,,,,
